step,feed,feed_abs,diameter,rotation,v_pitch,h_pitch,mand_y,mand_z,funct,param,speed
1,68.0,68.0,6.355,1.0,0.0,0.0,0.0,0.0,1,,
2,159.0,227.0,6.355,1.0,0.0,0.0,0.0,0.0,2,,
